OCC_TITLE	H_MEAN
Special Effects Artists and Animators	52.94
Artists and Related Workers, All Other	38.22
Designers	29.28
Commercial and Industrial Designers	42.31
Fashion Designers	58.86
Floral Designers	18.13
Graphic Designers	32.98
Interior Designers	34.34
Merchandise Displayers and Window Trimmers	19.49
Set and Exhibit Designers	37.71
Designers, All Other	37.50
Entertainers and Performers, Sports and Related Workers	41.21
Actors, Producers, and Directors	52.72
Actors	44.40
Producers and Directors	54.94
Athletes, Coaches, Umpires, and Related Workers	*
Athletes and Sports Competitors	*
Coaches and Scouts	*
Umpires, Referees, and Other Sports Officials	*
Dancers and Choreographers	30.16
Dancers	30.30
Choreographers	29.82
Musicians, Singers, and Related Workers	51.57
Music Directors and Composers	40.50
Musicians and Singers	55.13
Miscellaneous Entertainers and Performers, Sports and Related Workers	30.98
Disc Jockeys, Except Radio	33.25
Entertainers and Performers, Sports and Related Workers, All Other	29.74
Media and Communication Workers	39.92
Broadcast Announcers and Radio Disc Jockeys	38.52
Broadcast Announcers and Radio Disc Jockeys	38.52
News Analysts, Reporters and Journalists	50.98
News Analysts, Reporters, and Journalists	50.98
Public Relations Specialists	38.61
Public Relations Specialists	38.61
Writers and Editors	42.10
Editors	41.20
Technical Writers	44.39
Writers and Authors	41.24
Miscellaneous Media and Communication Workers	34.40
Interpreters and Translators	31.22
Court Reporters and Simultaneous Captioners	35.88
Media and Communication Workers, All Other	40.81
Media and Communication Equipment Workers	32.41
Broadcast, Sound, and Lighting Technicians	31.11
Audio and Video Technicians	29.51
Broadcast Technicians	30.87
Sound Engineering Technicians	38.12
Lighting Technicians	33.65
Photographers	26.76
Photographers	26.76
Television, Video, and Film Camera Operators and Editors	39.35
Camera Operators, Television, Video, and Film	38.40
Film and Video Editors	40.16
Miscellaneous Media and Communication Equipment Workers	37.67
Media and Communication Equipment Workers, All Other	37.67
Healthcare Practitioners and Technical Occupations	50.59
Healthcare Diagnosing or Treating Practitioners	61.80
Chiropractors	44.15
Chiropractors	44.15
Dentists	99.88
Dentists, General	94.28
Oral and Maxillofacial Surgeons	173.19
Orthodontists	122.41
Prosthodontists	124.36
Dentists, All Other Specialists	118.52
Dietitians and Nutritionists	35.95
Dietitians and Nutritionists	35.95
Optometrists	67.76
Optometrists	67.76
Pharmacists	65.97
Pharmacists	65.97
Physician Assistants	65.82
Physician Assistants	65.82
Podiatrists	78.83
Podiatrists	78.83
Therapists	45.78
Occupational Therapists	47.23
Physical Therapists	49.23
Radiation Therapists	53.28
Recreational Therapists	31.42
Respiratory Therapists	40.51
Speech-Language Pathologists	46.08
Exercise Physiologists	28.66
Therapists, All Other	35.48
Veterinarians	67.44
Veterinarians	67.44
Registered Nurses	47.32
Registered Nurses	47.32
Nurse Anesthetists	111.39
Nurse Anesthetists	111.39
Nurse Midwives	61.59
Nurse Midwives	61.59
Nurse Practitioners	63.46
Nurse Practitioners	63.46
Audiologists	45.83
Audiologists	45.83
Physicians	130.92
Anesthesiologists	161.85
Cardiologists	207.93
Dermatologists	167.22
Emergency Medicine Physicians	154.19
Family Medicine Physicians	123.47
General Internal Medicine Physicians	126.31
Neurologists	137.65
Obstetricians and Gynecologists	135.16
Pediatricians, General	106.89
Physicians, Pathologists	127.89
Psychiatrists	129.39
Radiologists	172.99
Physicians, All Other	121.86
Surgeons	170.56
Ophthalmologists, Except Pediatric	144.95
Orthopedic Surgeons, Except Pediatric	175.51
Pediatric Surgeons	216.74
Surgeons, All Other	178.50
Miscellaneous Healthcare Diagnosing or Treating Practitioners	47.07
Acupuncturists	43.15
Dental Hygienists	45.14
Healthcare Diagnosing or Treating Practitioners, All Other	61.86
Health Technologists and Technicians	28.51
Clinical Laboratory Technologists and Technicians	31.41
Clinical Laboratory Technologists and Technicians	31.41
Diagnostic Related Technologists and Technicians	40.27
Cardiovascular Technologists and Technicians	35.04
